Unnamed: 0,Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply,PC 1,PC 2,PC 3,class,CoinName
RDD,Scrypt,PoW/PoS,29315567169.0888,0.0,0.02014006068540778,1.0373679096044335,-0.6157418281807335,3,Reddcoin
RPC,Scrypt,PoW,1104157.42169891,21000000.0,-0.1723697159441062,-1.110111296518214,-0.026314996486966218,0,RonPaulCoin
SBC,Scrypt,PoW,24215181.725,250000000.0,-0.17046436228004075,-1.1102012403382922,-0.026343483370592505,0,StableCoin
SMC,Scrypt,PoW,25593737.1355044,51200000.0,-0.17185638366889494,-1.110112675175743,-0.026325371687409362,0,SmartCoin
SUPER,X11,PoS,50707661.7493518,0.0,-0.3441272225491171,1.0950252522888053,-0.20553988478591134,3,SuperCoin
SYNC,X11,PoW/PoS,1177.0,1000.0,-0.3905417065252672,1.2587824817967483,-0.5097660020301481,3,SyncCoin
SYS,SHA-256,PoW,563336541.299966,888000000.0,-0.13361073400718798,-1.3718864993823456,0.23206009066135055,0,SysCoin
TES,Multiple,PoS,80260463.7331396,100000000.0,-0.25863190604531994,0.14795526292154665,0.06475675930602752,3,TeslaCoin
TGC,SHA-256,PoW,43536800.0,47011968.0,-0.14592363915282847,-1.371768822856104,0.23229895533331818,0,TigerCoin
TIT,PHI1612,PoS,1622326490.46336,2300000000.0,-0.34186983805543103,1.6785925160177744,-0.262969894127862,3,TittieCoin
TOR,X11,PoW/PoS,1431851.00002479,10000000.0,-0.39045335937326703,1.258778760613543,-0.5097673759971592,3,TorCoin
TRC,SHA-256,PoW,22935396.0,42000000.0,-0.14621094626934103,-1.3717766791037742,0.23230578170229516,0,TerraCoin
UNB,SHA-256,PoW,2278150.0,80000000.0,-0.14619411561658435,-1.3718035786122829,0.23230861463643598,0,UnbreakableCoin
UNO,SHA-256,PoW,200911.79151896,250000.0,-0.14678468133158112,-1.371769336021398,0.23231669214352227,0,Unobtanium
URO,X11,PoW,1207310.0,0.0,-0.22490764030162497,-0.8743549303459658,0.07061393419505928,0,UroCoin
USDE,Scrypt,PoW/PoS,1098952592.6,1600000000.0,-0.31338110394164553,1.022865357364986,-0.6071814118835672,3,UnitaryStatus Dollar
UTC,Scrypt,PoW/PoS,50235211.141939,100000000.0,-0.33682871125527786,1.023015799475391,-0.6067178365673661,3,UltraCoin
